Gene,Coverage(%),Depth(X)
>catB4_1_EU935739 Phenicol resistance:,100.00,55.74
>strB_1_M96392 Aminoglycoside resistance:Alternate name; aph(6)-Id,100.00,26.35
>blaOXA-1_1_J02967 Beta-lactam resistance:,100.00,24.19
>strA_1_M96392 Aminoglycoside resistance:Alternate name; aph(3'')-Ib,99.88,22.68
>sul2_1_AF542061 Sulphonamide resistance:,99.63,18.96
>dfrA14_1_DQ388123 Trimethoprim resistance:,99.59,25.38
>fosA_3_ACWO01000079 Fosfomycin resistance:,99.52,53.38
>oqxA_1_EU370913 Quinolone resistance:,99.32,65.02
>aac(3)-IIa_1_X51534 Aminoglycoside resistance:,99.07,25.20
>oqxB_1_EU370913 Quinolone resistance:,98.99,59.44
>blaTEM-1A_4_HM749966 Beta-lactam resistance:Alternate name; RblaTEM-1,97.21,16.14
>blaSHV-1_1_DQ166783 Beta-lactam resistance:,95.24,22.16
