Gene,Coverage(%),Depth(X)
>blaOXA-1_1_J02967 Beta-lactam resistance:,100.00,20.18
>catB4_1_EU935739 Phenicol resistance:,99.64,20.42
>fosA_3_ACWO01000079 Fosfomycin resistance:,99.52,43.77
>oqxA_1_EU370913 Quinolone resistance:,98.98,48.27
>oqxB_1_EU370913 Quinolone resistance:,98.32,41.10
>sul2_1_AF542061 Sulphonamide resistance:,98.28,13.00
>strA_1_M96392 Aminoglycoside resistance:Alternate name; aph(3'')-Ib,98.13,18.09
>dfrA14_1_DQ388123 Trimethoprim resistance:,97.52,17.98
>strB_1_M96392 Aminoglycoside resistance:Alternate name; aph(6)-Id,97.37,21.60
>aac(3)-IIa_1_X51534 Aminoglycoside resistance:,94.77,21.70
>blaTEM-1A_4_HM749966 Beta-lactam resistance:Alternate name; RblaTEM-1,94.54,14.19
>tet(A)_2_X00006 Tetracycline resistance:,86.92,17.68
>blaSHV-1_1_DQ166783 Beta-lactam resistance:,85.71,14.43
